Hours,Summary_Date,Time,Tubing_Pressure,Casing_Pressure,Oil_Data_Hourly,Water_Data_Hourly,Gas_Data_Hourly,
1,11/11/1992,6:00,0.00,1393.80,0.00,0.00,0.00,
2,11/11/1992,7:00,0.00,1393.80,0.00,0.00,0.00,
3,11/11/1992,8:00,0.00,1380.00,0.00,11.27,0.00,
4,11/11/1992,9:00,0.00,1375.40,0.00,6.56,0.00,
5,11/11/1992,10:00,0.00,1370.80,0.00,13.46,0.00,
6,11/11/1992,11:00,0.00,1359.30,0.00,19.09,0.00,
7,11/11/1992,12:00,0.00,1353.55,0.00,21.05,0.00,
8,11/11/1992,13:00,0.00,1351.25,0.00,17.83,0.00,
9,11/11/1992,14:00,0.00,1354.70,0.00,13.34,0.00,
10,11/11/1992,15:00,0.00,1358.15,0.00,8.97,0.00,
11,11/11/1992,16:00,0.00,1342.05,0.00,8.97,0.00,
12,11/11/1992,17:00,0.00,1339.75,0.00,10.58,0.00,
13,11/11/1992,18:00,0.00,1332.85,0.00,18.86,0.00,
14,11/11/1992,19:00,0.00,1324.80,0.00,16.45,0.00,
15,11/11/1992,20:00,0.00,1315.60,0.00,21.97,0.00,
16,11/11/1992,21:00,0.00,1292.60,0.00,35.65,0.00,
17,11/11/1992,22:00,0.00,1277.65,0.00,48.99,0.00,
18,11/11/1992,23:00,0.00,1254.65,0.00,40.02,0.00,
19,11/11/1992,0:00,0.00,1237.40,0.00,42.67,0.00,
20,11/11/1992,1:00,0.00,1222.45,0.00,53.48,0.00,
21,11/11/1992,2:00,0.00,1204.05,0.00,57.85,0.00,
22,11/11/1992,3:00,0.00,1187.95,0.00,57.96,0.00,
23,11/11/1992,4:00,0.00,1173.00,0.00,55.89,0.00,
24,11/11/1992,5:00,0.00,1159.20,0.00,53.36,0.00,
25,11/11/1992,6:00,0.00,1140.80,0.00,58.42,0.00,
26,11/12/1992,7:00,0.00,1138.50,0.00,55.66,0.00,
27,11/12/1992,8:00,0.00,1090.20,0.00,80.16,0.00,
28,11/12/1992,9:00,0.00,1087.90,0.00,62.33,0.00,
29,11/12/1992,10:00,0.00,1072.95,0.00,71.30,0.00,
30,11/12/1992,11:00,0.00,1066.05,0.00,53.36,0.00,
31,11/12/1992,12:00,0.00,1058.00,0.00,62.45,0.00,
32,11/12/1992,13:00,0.00,1048.80,0.00,53.59,0.00,
33,11/12/1992,14:00,0.00,1039.60,0.00,53.48,0.00,
34,11/12/1992,15:00,0.00,1029.25,0.00,62.45,0.00,
35,11/12/1992,16:00,0.00,1020.05,0.00,57.96,0.00,
36,11/12/1992,17:00,0.00,1013.15,0.00,44.39,0.00,
37,11/12/1992,18:00,0.00,1002.80,0.00,75.90,0.00,
38,11/12/1992,19:00,0.00,961.40,0.00,62.33,0.00,
39,11/12/1992,20:00,0.00,922.30,0.00,61.64,0.00,
40,11/12/1992,21:00,0.00,900.45,0.00,84.53,0.00,
41,11/12/1992,22:00,0.00,899.30,0.00,79.01,0.00,
42,11/12/1992,23:00,0.00,891.25,0.00,89.24,0.00,
43,11/12/1992,0:00,0.00,877.45,0.00,66.93,0.00,
44,11/12/1992,1:00,0.00,869.40,0.00,66.82,0.00,
45,11/12/1992,2:00,0.00,829.15,0.00,82.34,0.00,
46,11/12/1992,3:00,0.00,814.20,0.00,84.76,0.00,
47,11/12/1992,4:00,0.00,798.10,0.00,71.30,0.00,
48,11/12/1992,5:00,0.00,792.35,0.00,77.40,0.00,
49,11/12/1992,6:00,0.00,754.40,0.00,89.13,0.00,
50,11/13/1992,7:00,0.00,749.80,0.00,80.73,0.00,
51,11/13/1992,8:00,0.00,696.90,0.00,84.30,0.00,
52,11/13/1992,9:00,0.00,676.20,0.00,76.94,0.00,
53,11/13/1992,10:00,0.00,655.50,0.00,83.26,0.00,
54,11/13/1992,11:00,0.00,645.15,0.00,86.14,0.00,
55,11/13/1992,12:00,0.00,617.55,0.00,90.05,0.00,
56,11/13/1992,13:00,0.00,604.90,0.00,88.44,0.00,
57,11/13/1992,14:00,0.00,602.60,0.00,86.48,0.00,
58,11/13/1992,15:00,0.00,596.85,0.00,83.26,0.00,
59,11/13/1992,16:00,0.00,575.00,0.00,73.83,0.00,
60,11/13/1992,17:00,0.00,563.50,0.00,69.00,0.00,
61,11/13/1992,18:00,0.00,550.85,0.00,80.16,0.00,
62,11/13/1992,19:00,0.00,537.05,0.00,84.41,0.00,
63,11/13/1992,20:00,0.00,501.40,0.00,89.13,0.00,
64,11/13/1992,21:00,0.00,484.15,0.00,79.01,0.00,
65,11/13/1992,22:00,0.00,466.90,0.00,75.67,0.00,
66,11/13/1992,23:00,0.00,451.95,0.00,90.05,0.00,
67,11/13/1992,0:00,0.00,440.45,0.00,80.16,0.00,
68,11/13/1992,1:00,0.00,439.30,0.00,89.01,0.00,
69,11/13/1992,2:00,0.00,427.80,0.00,66.82,0.00,
70,11/13/1992,3:00,0.00,418.60,0.00,72.68,0.00,
71,11/13/1992,4:00,0.00,409.40,0.00,68.08,0.00,
72,11/13/1992,5:00,0.00,400.20,0.00,69.23,0.00,
73,11/13/1992,6:00,0.00,391.00,0.00,62.33,0.00,
74,11/14/1992,7:00,0.00,382.95,0.00,71.30,0.00,
75,11/14/1992,8:00,0.00,356.50,0.00,75.79,0.00,
76,11/14/1992,9:00,0.00,345.00,0.67,66.15,0.00,
77,11/14/1992,10:00,0.00,334.65,0.81,79.47,0.00,
78,11/14/1992,11:00,0.00,327.75,0.62,61.59,0.00,
79,11/14/1992,12:00,0.00,319.70,0.81,79.47,0.00,
80,11/14/1992,13:00,0.00,311.65,0.81,79.93,0.00,
81,11/14/1992,14:00,0.00,304.75,0.81,79.47,0.00,
82,11/14/1992,15:00,0.00,297.85,0.78,77.07,0.00,
83,11/14/1992,16:00,0.00,289.80,0.92,88.32,0.00,
84,11/14/1992,17:00,0.00,285.20,1.51,73.70,0.00,
85,11/14/1992,18:00,0.00,279.45,1.61,78.55,0.00,
86,11/14/1992,19:00,0.00,274.85,1.67,74.46,0.00,
87,11/14/1992,20:00,0.00,261.05,2.04,60.18,0.00,
88,11/14/1992,21:00,0.00,256.45,1.94,63.26,0.00,
89,11/14/1992,22:00,0.00,250.70,2.12,56.99,0.00,
90,11/14/1992,23:00,0.00,244.95,2.35,51.13,0.00,
91,11/14/1992,0:00,0.00,240.35,2.35,51.13,0.00,
92,11/14/1992,1:00,0.00,228.85,2.28,52.12,0.00,
93,11/14/1992,2:00,0.00,224.25,2.12,55.73,0.00,
94,11/14/1992,3:00,0.00,218.50,2.20,53.69,0.00,
95,11/14/1992,4:00,0.00,212.75,2.27,51.44,0.00,
96,11/14/1992,5:00,0.00,204.70,2.23,52.16,0.00,
97,11/14/1992,6:00,0.00,204.70,5.78,52.06,0.00,
98,11/15/1992,7:00,0.00,200.10,5.04,45.33,0.00,
99,11/15/1992,8:00,0.00,185.15,5.13,46.16,0.00,
100,11/15/1992,9:00,0.00,178.25,7.48,54.86,0.00,
101,11/15/1992,10:00,0.00,174.80,5.34,39.17,0.00,
102,11/15/1992,11:00,0.00,172.50,8.11,49.84,0.00,
103,11/15/1992,12:00,0.00,163.30,6.87,42.23,0.00,
104,11/15/1992,13:00,0.00,161.00,8.03,42.11,0.00,
105,11/15/1992,14:00,0.00,158.70,6.42,33.72,0.00,
106,11/15/1992,15:00,0.00,156.40,8.82,40.17,0.00,
107,11/15/1992,16:00,0.00,151.80,7.82,35.65,0.00,
108,11/15/1992,17:00,0.00,149.50,6.56,34.39,0.00,
109,11/15/1992,18:00,0.00,147.20,7.92,36.12,0.00,
110,11/15/1992,19:00,0.00,138.00,7.86,38.38,0.00,
111,11/15/1992,20:00,0.00,126.50,8.33,40.66,0.00,
112,11/15/1992,21:00,0.00,126.50,8.02,39.13,0.00,
113,11/15/1992,22:00,0.00,115.00,7.98,36.41,0.00,
114,11/15/1992,23:00,0.00,115.00,8.03,36.59,0.00,
115,11/15/1992,0:00,0.00,115.00,7.53,34.33,0.00,
116,11/15/1992,1:00,0.00,109.25,8.43,35.96,0.00,
117,11/15/1992,2:00,0.00,109.25,8.03,36.59,0.00,
118,11/15/1992,3:00,0.00,97.75,8.58,36.62,0.00,
119,11/15/1992,4:00,0.00,97.75,8.92,35.70,0.00,
120,11/15/1992,5:00,0.00,97.75,8.90,35.60,0.00,
121,11/15/1992,6:00,0.00,97.75,10.70,42.78,0.00,
122,11/16/1992,7:00,0.00,97.75,11.12,33.38,0.00,
123,11/16/1992,8:00,0.00,95.45,10.35,31.17,0.00,
124,11/16/1992,9:00,0.00,94.30,8.03,32.11,0.00,
125,11/16/1992,10:00,0.00,92.00,10.03,30.11,0.00,
126,11/16/1992,11:00,0.00,92.00,8.91,26.74,0.00,
127,11/16/1992,12:00,0.00,86.25,10.14,30.45,0.00,
128,11/16/1992,13:00,0.00,83.95,10.14,30.45,0.00,
129,11/16/1992,14:00,0.00,81.65,8.63,25.88,0.00,
130,11/16/1992,15:00,0.00,80.50,10.06,30.19,0.00,
131,11/16/1992,16:00,0.00,80.50,11.59,29.81,0.00,
132,11/16/1992,17:00,0.00,80.50,10.88,27.99,0.00,
133,11/16/1992,18:00,0.00,80.50,11.04,28.41,0.00,
134,11/16/1992,19:00,0.00,74.75,11.59,29.81,0.00,
135,11/16/1992,20:00,0.00,69.00,8.69,22.36,0.00,
136,11/16/1992,21:00,0.00,63.25,10.04,30.11,0.00,
137,11/16/1992,22:00,0.00,63.25,9.32,27.95,0.00,
138,11/16/1992,23:00,0.00,63.25,8.89,26.66,0.00,
139,11/16/1992,0:00,0.00,63.25,11.16,33.47,0.00,
140,11/16/1992,1:00,0.00,57.50,10.04,30.11,0.00,
141,11/16/1992,2:00,0.00,57.50,9.95,25.59,0.00,
142,11/16/1992,3:00,0.00,57.50,11.24,28.90,0.00,
143,11/16/1992,4:00,0.00,51.75,9.98,25.67,0.00,
144,11/16/1992,5:00,0.00,51.75,12.49,32.12,0.00,
145,11/16/1992,6:00,0.00,49.45,10.30,26.50,0.00,
146,11/17/1992,7:00,0.00,49.45,9.91,25.51,0.00,
147,11/17/1992,8:00,0.00,47.15,10.59,27.24,0.00,
148,11/17/1992,9:00,0.00,46.00,12.45,29.06,0.00,
149,11/17/1992,10:00,0.00,46.00,9.97,23.26,0.00,
150,11/17/1992,11:00,0.00,46.00,10.63,24.79,0.00,
151,11/17/1992,12:00,0.00,43.70,13.40,24.90,0.00,
152,11/17/1992,13:00,0.00,43.70,13.28,23.91,0.00,
153,11/17/1992,14:00,0.00,41.40,13.69,25.42,0.00,
154,11/17/1992,15:00,0.00,41.40,13.24,24.60,0.00,
155,11/17/1992,16:00,0.00,40.25,13.20,19.80,0.00,
156,11/17/1992,17:00,0.00,40.25,13.85,20.77,0.00,
157,11/17/1992,18:00,0.00,40.25,17.76,26.63,0.00,
158,11/17/1992,19:00,0.00,34.50,12.75,22.67,0.00,
159,11/17/1992,20:00,0.00,34.50,10.49,22.29,0.00,
160,11/17/1992,21:00,0.00,34.50,10.95,20.33,0.00,
161,11/17/1992,22:00,0.00,34.50,11.53,19.63,0.00,
162,11/17/1992,23:00,0.00,34.50,10.28,20.88,0.00,
163,11/17/1992,0:00,0.00,34.50,10.91,20.26,0.00,
164,11/17/1992,1:00,0.00,28.75,9.38,17.42,0.00,
165,11/17/1992,2:00,0.00,28.75,10.30,19.14,0.00,
166,11/17/1992,3:00,0.00,28.75,10.91,20.26,0.00,
167,11/17/1992,4:00,0.00,28.75,10.28,20.88,0.00,
168,11/17/1992,5:00,0.00,28.75,10.81,21.97,0.00,
169,11/17/1992,6:00,0.00,28.75,9.37,17.41,0.00,
170,11/18/1992,7:00,0.00,23.00,8.58,15.95,0.00,
171,11/18/1992,8:00,0.00,23.00,9.37,17.41,0.00,
172,11/18/1992,9:00,0.00,20.70,8.25,14.05,0.00,
173,11/18/1992,10:00,0.00,20.70,10.88,17.74,0.00,
174,11/18/1992,11:00,0.00,20.70,9.14,15.53,0.00,
175,11/18/1992,12:00,0.00,17.25,11.57,19.71,0.00,
176,11/18/1992,13:00,0.00,17.25,8.58,15.96,0.00,
177,11/18/1992,14:00,0.00,16.10,7.77,12.70,0.00,
178,11/18/1992,15:00,0.00,16.10,12.01,18.01,0.00,
179,11/18/1992,16:00,0.00,16.10,8.74,13.11,0.00,
180,11/18/1992,17:00,0.00,16.10,10.81,16.22,0.00,
181,11/18/1992,18:00,0.00,16.10,9.49,15.47,0.00,
182,11/18/1992,19:00,0.00,16.10,9.20,13.80,0.00,
183,11/18/1992,20:00,0.00,11.50,3.40,5.57,0.00,
184,11/18/1992,21:00,0.00,11.50,10.72,16.08,0.00,
185,11/18/1992,22:00,0.00,11.50,8.48,13.83,0.00,
186,11/18/1992,23:00,0.00,11.50,9.49,15.47,0.00,
187,11/18/1992,0:00,0.00,11.50,8.48,13.83,0.00,
188,11/18/1992,1:00,0.00,11.50,8.87,14.48,0.00,
189,11/18/1992,2:00,0.00,11.50,5.12,8.34,0.00,
190,11/18/1992,3:00,0.00,11.50,10.13,16.62,0.00,
191,11/18/1992,4:00,0.00,11.50,8.92,13.39,0.00,
192,11/18/1992,5:00,0.00,11.50,8.60,12.90,0.00,
193,11/18/1992,6:00,0.00,11.50,12.47,18.70,0.00,
194,11/19/1992,7:00,0.00,11.50,9.36,12.94,0.00,
195,11/19/1992,8:00,0.00,10.35,9.46,11.57,0.00,
196,11/19/1992,9:00,0.00,10.35,10.66,13.03,0.00,
197,11/19/1992,10:00,0.00,9.20,13.75,17.51,0.00,
198,11/19/1992,11:00,0.00,8.05,9.11,11.13,0.00,
199,11/19/1992,12:00,0.00,8.05,12.01,14.67,0.00,
200,11/19/1992,13:00,0.00,8.05,10.42,13.26,0.00,
201,11/19/1992,14:00,0.00,8.05,10.04,12.27,0.00,
202,11/19/1992,15:00,0.00,6.90,10.12,11.98,0.00,
203,11/19/1992,16:00,0.00,6.90,8.65,11.01,0.00,
204,11/19/1992,17:00,0.00,6.90,10.20,11.98,0.00,
205,11/19/1992,18:00,0.00,6.90,9.48,11.58,0.00,
206,11/19/1992,19:00,0.00,6.90,12.70,13.75,0.00,
207,11/19/1992,20:00,0.00,6.90,10.58,12.42,0.00,
208,11/19/1992,21:00,0.00,6.90,11.24,13.73,0.00,
209,11/19/1992,22:00,0.00,6.90,12.33,14.47,0.00,
210,11/19/1992,23:00,0.00,6.90,14.08,17.20,0.00,
211,11/19/1992,0:00,0.00,5.75,9.76,12.43,0.00,
212,11/19/1992,1:00,0.00,5.75,14.08,17.20,0.00,
213,11/19/1992,2:00,0.00,5.75,14.65,16.51,0.00,
214,11/19/1992,3:00,0.00,5.75,9.99,12.21,0.00,
215,11/19/1992,4:00,0.00,5.75,12.86,13.93,0.00,
216,11/19/1992,5:00,0.00,5.75,11.48,13.48,0.00,
217,11/19/1992,6:00,0.00,5.75,12.80,13.87,0.00,
218,11/20/1992,7:00,0.00,5.75,8.56,9.27,0.00,
219,11/20/1992,8:00,0.00,4.60,9.49,10.29,0.00,
220,11/20/1992,9:00,0.00,101.20,4.42,4.78,0.00,
221,11/20/1992,10:00,0.00,115.00,0.00,0.00,0.00,
222,11/20/1992,11:00,0.00,149.50,0.00,0.00,0.00,
223,11/20/1992,12:00,0.00,0.00,0.00,0.00,0.00,
224,11/20/1992,13:00,0.00,0.00,0.00,0.00,0.00,
225,11/20/1992,14:00,0.00,0.00,0.00,0.00,0.00,
226,11/20/1992,15:00,0.00,0.00,0.00,0.00,0.00,
227,11/20/1992,16:00,0.00,0.00,0.00,0.00,0.00,
228,11/20/1992,17:00,0.00,0.00,0.00,0.00,0.00,
229,11/20/1992,18:00,0.00,57.50,0.00,0.00,0.00,
230,11/20/1992,19:00,0.00,80.50,0.00,0.00,0.00,
231,11/20/1992,20:00,0.00,109.25,0.00,0.00,0.00,
232,11/20/1992,21:00,0.00,120.75,0.00,0.00,0.00,
233,11/20/1992,22:00,0.00,132.25,0.00,0.00,0.00,
234,11/20/1992,23:00,0.00,132.25,0.00,0.00,0.00,
