CORE_NO,permeability,porosity,perm_quality
1,13.8,0.17,moderate
1,25.2,0.108,moderate
1,1.02,0.128,fair
1,524,0.164,very good
1,274,0.165,very good
1,1130,0.172,very good
1,442,0.169,very good
1,19.3,0.201,moderate
1,0.298,0.103,poor
1,6.54,0.127,fair
1,593,0.19,very good
1,0.151,0.099,poor
1,260,0.206,very good
1,168,0.21,good
1,317,0.227,very good
1,44.8,0.219,moderate
1,207,0.2,good
1,65,0.221,good
1,50.4,0.177,good
1,0.994,0.116,poor
1,14.5,0.196,moderate
1,171,0.244,good
1,136,0.258,good
1,131,0.264,good
1,125,0.249,good
1,121,0.251,good
1,86.5,0.25,good
1,74.6,0.243,good
1,70.1,0.235,good
1,102,0.36,good
1,94.1,0.24,good
1,138,0.25,good
1,175,0.249,good
1,133,0.236,good
1,123,0.226,good
1,30.4,0.183,moderate
1,1.06,0.087,fair
1,17.8,0.15,moderate
1,15.9,0.169,moderate
1,140,0.24,good
1,142,0.244,good
1,111,0.241,good
1,157,0.249,good
1,138,0.246,good
1,57.2,0.225,good
1,38,0.22,moderate
1,61,0.293,good
1,53.8,0.238,good
1,57.4,0.232,good
1,53.7,0.231,good
1,44.8,0.236,moderate
1,41.2,0.239,moderate
1,104,0.225,good
1,119,0.22,good
1,127,0.219,good
1,229,0.251,good
1,21.6,0.176,moderate
1,3.99,0.161,fair
1,1.3,0.092,fair
2,0.036,0.04,poor
2,0.026,0.038,poor
2,0.023,0.033,poor
2,21.2,0.197,moderate
2,29.9,0.211,moderate
2,0.244,0.086,poor
2,0.022,0.032,poor
2,0.018,0.033,poor
2,0.584,0.085,poor
2,20.3,0.183,moderate
2,38.6,0.21,moderate
2,15,0.182,moderate
2,214,0.234,good
2,250,0.291,very good
2,80.1,0.221,good
2,104,0.21,good
2,5.92,0.158,fair
2,21,0.187,moderate
2,36,0.147,moderate
2,95.9,0.203,good
2,40.7,0.191,moderate
2,20.6,0.199,moderate
2,20800,0.236,very good
2,20400,0.229,very good
2,2480,0.235,very good
2,5230,0.338,very good
2,3780,0.25,very good
2,6260,0.244,very good
2,6930,0.331,very good
2,4950,0.241,very good
2,2270,0.248,very good
2,6430,0.229,very good
2,4950,0.211,very good
2,1540,0.181,very good
2,5410,0.222,very good
2,7150,0.223,very good
2,6470,0.233,very good
2,9350,0.25,very good
2,10000,0.338,very good
2,8290,0.238,very good
2,8790,0.241,very good
2,7310,0.24,very good
2,8370,0.239,very good
2,8570,0.239,very good
2,10900,0.25,very good
2,11800,0.251,very good
2,11000,0.246,very good
2,11900,0.247,very good
2,13200,0.259,very good
2,11800,0.233,very good
2,6520,0.247,very good
2,6660,0.236,very good
2,3590,0.23,very good
2,4040,0.236,very good
2,2580,0.228,very good
2,1740,0.224,very good
2,2880,0.228,very good
2,291,0.209,very good
2,142,0.214,good
2,382,0.2,very good
2,16.3,0.152,moderate
2,1.89,0.127,fair
2,0.328,0.082,poor
2,0.459,0.074,poor
2,0.052,0.04,poor
2,94,0.253,good
2,354,0.299,very good
2,243,0.289,good
2,198,0.254,good
2,123,0.243,good
2,89.6,0.218,good
2,5.05,0.12,fair
2,10.5,0.141,moderate
2,4.73,0.124,fair
2,0.584,0.086,poor
2,0.706,0.097,poor
2,50.1,0.217,good
2,124,0.236,good
3,78.3,0.212,good
3,60.3,0.212,good
3,66.4,0.215,good
3,60.3,0.211,good
3,77.5,0.29,good
3,79.1,0.219,good
3,74.4,0.219,good
3,95.2,0.219,good
3,63.9,0.187,good
3,58.8,0.17,good
3,56,0.173,good
3,62.8,0.171,good
3,68.6,0.214,good
3,103,0.193,good
3,77.7,0.192,good
3,69.2,0.182,good
3,328,0.207,very good
3,511,0.214,very good
3,350,0.211,very good
3,412,0.21,very good
3,432,0.213,very good
3,57.7,0.188,good
3,130,0.207,good
3,217,0.217,good
3,221,0.215,good
3,170,0.213,good
3,206,0.214,good
3,177,0.212,good
3,109,0.209,good
3,40.9,0.207,moderate
3,179,0.222,good
3,94.5,0.206,good
3,193,0.225,good
3,146,0.219,good
3,84.3,0.214,good
3,218,0.232,good
3,178,0.228,good
3,94.5,0.202,good
3,1.89,0.151,fair
3,13,0.188,moderate
3,5.97,0.144,fair
3,87.3,0.209,good
3,75.9,0.168,good
3,179,0.222,good
3,119,0.214,good
3,184,0.212,good
3,47.8,0.153,moderate
3,124,0.162,good
3,132,0.218,good
3,1.32,0.133,fair
3,10.4,0.188,moderate
3,2.87,0.15,fair
3,71.8,0.233,good
3,85.6,0.234,good
3,73.1,0.313,good
3,103,0.234,good
3,97.3,0.241,good
3,107,0.234,good
3,40.1,0.217,moderate
3,104,0.23,good
3,102,0.225,good
3,67,0.217,good
3,61.6,0.216,good
3,84.7,0.211,good
3,62.3,0.197,good
3,72.8,0.174,good
3,49,0.175,moderate
3,162,0.181,good
